
File: ../datasets/yacht_hydrodynamics.txtFinal results.
SEED: N_vars: 6 N_gens: 100 Pop_size: 500 XP: 0.6 MP: 0.3 TS: 20 MAX_D: 5 MIN_D: 1
ARITHMETIC MEAN OF ALL EXECUTIONS
GEN, BEST, WORST, AVG, %BETTER CHILDREN
37, 649.409057381, 1776535789.67, 3675952.37215, 24.4072602052
38, 648.278515775, 9.4587060389e+12, 18917565944.1, 23.3922476669
39, 643.765684926, 1554434181.07, 3616394.45187, 24.2190942482
40, 643.600047532, 372871566.463, 921576.822893, 23.3858345564
41, 635.874511126, 10828252392.0, 21754847.2243, 24.0474344749
42, 633.788840517, 1.11301575355e+18, 2.22603150719e+15, 22.3651497147
43, 615.403328304, 34826486766.3, 71097356.2603, 23.8059151333
44, 588.985032603, 6.24149883692e+18, 1.24829976741e+16, 21.3814229919
45, 580.313175008, 3129677899.81, 6534365.04607, 23.4336016926
46, 572.151528697, 790807902.377, 2111358.95286, 22.4171629074
47, 570.990222379, 4.04298363232e+14, 808596904248.0, 24.8036786278
48, 568.306615282, 1320454705.52, 2810892.32344, 22.4211652769
49, 567.211797758, 240397228.899, 624587.011269, 23.1102146365
50, 563.196900303, 321248729.854, 853624.779509, 25.0285982666
51, 561.860851438, 7103030050.93, 14940675.4305, 22.3505566767
52, 559.48599677, 6222301680.94, 12553997.7666, 22.8944264618
53, 558.557688086, 1678466184.73, 5628534.85513, 22.0531994332
54, 555.790517701, 1.00763965315e+14, 201528446296.0, 19.3278470464
55, 553.106711339, 123497008.96, 395258.923214, 21.1339520977
56, 552.322548726, 91757340.696, 333491.806399, 23.5514810911
57, 552.106126078, 305671402.795, 728097.429239, 19.2009432605
58, 552.106126078, 54227283.7172, 235535.680548, 20.8900247743
59, 550.863051127, 261178179.813, 764865.397645, 21.3864041106
60, 550.284052578, 1453252123.59, 3266225.76177, 21.1281121919
61, 550.197837212, 7986137936.31, 16089370.4329, 21.6585585991
62, 549.741097024, 5.82102763361e+16, 1.16420552787e+14, 20.9489114539
63, 549.036763277, 292077589.268, 815465.29865, 22.2827931683
64, 548.918724021, 115869291.188, 372962.20526, 21.6712814596
65, 548.264151321, 1.41791310274e+17, 2.83582620644e+14, 21.2746553487
66, 547.166035072, 576586730.406, 1777902.20368, 22.2982135108
67, 542.871149426, 49140044.7151, 178724.713074, 21.4268828869
68, 538.39576845, 8.66706951673e+15, 1.73341392359e+13, 21.6742118949
69, 537.945448455, 169224771.879, 440260.568995, 24.3067508846
70, 537.526159006, 583689583.344, 1318258.02443, 22.803052339
71, 536.950178418, 4.52371088921e+13, 90474473623.4, 23.8242864707
72, 533.49906261, 1.26660169018e+14, 253320531027.0, 24.9084622611
73, 533.36490624, 6570408823.65, 18266138.0434, 23.5292198188
74, 533.078163076, 730653456.426, 1659543.81594, 24.1108847867
75, 532.748821681, 125408714.756, 494585.31408, 22.6180094057
76, 531.013462014, 45565110.7726, 193912.939799, 23.2331701192
77, 530.899129171, 157345175.573, 717043.170249, 21.6756075616
78, 530.899129171, 528622683.277, 1144091.42496, 23.5219566176
79, 526.881938131, 762319522.57, 1685814.15252, 25.2718542332
80, 526.602533299, 209282558.325, 523237.295936, 25.9266911294
81, 526.602533299, 3.56460980117e+15, 7.12921974447e+12, 25.3640603467
82, 525.820446655, 7090372777.55, 14283841.859, 24.3518119178
83, 524.261818348, 130497114.641, 456046.189835, 22.3042102837
84, 524.206764272, 79922029.7118, 235918.628731, 24.2060011628
85, 523.546287785, 1576716528.26, 3336771.54059, 24.2310199139
86, 523.227528561, 90305002.2067, 301825.293202, 23.7859994413
87, 519.750184002, 4.82247214892e+15, 9.6449445086e+12, 24.3372229806
88, 519.661749678, 2013324696.74, 4311985.89351, 25.4957657427
89, 518.908810469, 175509258.917, 465129.18701, 23.0870458015
90, 518.433124551, 291801056.348, 677047.518723, 22.9394475347
91, 518.433124551, 8.70805066193e+13, 174161336762.0, 23.0376311277
92, 518.149055502, 300192495.614, 777630.119846, 22.6914297837
93, 517.698469424, 531748863.491, 1257120.68992, 25.1157713942
94, 517.698469424, 334670275.76, 813006.111296, 23.8808973704
95, 517.240581764, 5.96727216809e+14, 2.16027030861e+12, 21.4914328254
96, 517.094911823, 228764972.959, 695557.439802, 23.9845727249
97, 516.627735682, 1146159464.25, 2462801.18459, 22.1746385118
98, 512.883681075, 2191844187.44, 4643303.52594, 23.275682256
99, 512.629062464, 21840349950.2, 44396198.5108, 23.491925314
100, 512.629062464, 602463021.122, 1499887.73457, 21.204020808
